Rank,Name,Guild,Faction,DPS,Size,Date,Duration,Head,Neck,Shoulder,Chest,Waist,Legs,Feet,Wrist,Hands,Ring1,Ring2,Trinket1,Trinket2,Back,Weapon1,Weapon2,Ranged,Raid,Phase,Class,Specialisation
48,루이랑,LuckySeven,Alliance,521.4,40,Jun-29,54:19:00,"Mish'undare, Circlet of the Mind Flayer (19375)",Orb of the Darkmoon (19426),Burial Shawl (18681),Bloodvine Vest (19682),Angelista's Grasp (19388),Bloodvine Leggings (19683),Bloodvine Boots (19684),High Councillor's Bracers (10136),Ogreseer Fists (11665),Zanzil's Seal (19893),Zanzil's Band (19905),Zandalarian Hero Charm (19950),Eye of the Beast (13968),Cloak of Consumption (19857),Grand Marshal's Mageblade (23451),Tome of Arcane Domination (19308),Egan's Blaster (13289),Blackwing Lair,4,Druid,Balance
49,Wibbley,Full Circle,Alliance,518.9,40,Jun-25,24:48:00,The Hexxer's Cover (19886),Soul Corrupter's Necklace (19876),Mantle of the Blackwing Cabal (19370),Bloodvine Vest (19682),Firemaw's Clutch (19400),Bloodvine Leggings (19683),Bloodvine Boots (19684),Master's Bracers (10248),Mighty Gauntlets (10149),Band of Forced Concentration (19403),Band of Servitude (22721),Zandalarian Hero Charm (19950),Neltharion's Tear (19379),Cloak of Consumption (19857),Staff of Dominance (18842),N/A,Egan's Blaster (13289),Blackwing Lair,4,Druid,Balance
50,논골,N/A,Unknown,514.8,40,Jun-15,56:45:00,"Mish'undare, Circlet of the Mind Flayer (19375)",Choker of the Fire Lord (18814),Mantle of the Blackwing Cabal (19370),Bloodvine Vest (19682),Firemaw's Clutch (19400),Bloodvine Leggings (19683),Bloodvine Boots (19684),Bracers of Arcane Accuracy (19374),Bloodtinged Gloves (19929),Band of Forced Concentration (19403),Ring of Spell Power (19147),Talisman of Ephemeral Power (18820),Neltharion's Tear (19379),Cloak of Consumption (19857),Lok'amir il Romathis (19360),Jin'do's Bag of Whammies (19891),Egan's Blaster (13289),Blackwing Lair,4,Druid,Balance
51,Immaterialx,B R I C K E D,Alliance,514.4,40,Jun-20,20:29,The Hexxer's Cover (19886),Soul Corrupter's Necklace (19876),Abyssal Cloth Amice (20686),Bloodvine Vest (19682),Angelista's Grasp (19388),Knight-Captain's Dragonhide Leggings (23295),Boots of Fright (20634),Blacklight Bracer (19135),Bloodtinged Gloves (19929),Band of Servitude (22721),Zanzil's Band (19905),Zandalarian Hero Charm (19950),Eye of the Beast (13968),Cloak of the Hakkari Worshippers (22711),Fang of the Mystics (17070),Jin'do's Bag of Whammies (19891),Idol of Rejuvenation (22398),Blackwing Lair,4,Druid,Balance
52,Upaghataka,N/A,Unknown,513.2,40,Jul-07,36:34:00,The Hexxer's Cover (19886),Pristine Enchanted South Seas Kelp (19613),Burial Shawl (18681),Bloodvine Vest (19682),Ban'thok Sash (11662),Bloodvine Leggings (19683),Bloodvine Boots (19684),Mighty Armsplints (10147),Bloodtinged Gloves (19929),Zanzil's Seal (19893),Ring of Blackrock (19397),Neltharion's Tear (19379),Zandalarian Hero Charm (19950),Cloak of Consumption (19857),Lok'amir il Romathis (19360),Jin'do's Bag of Whammies (19891),N/A,Blackwing Lair,4,Druid,Balance
53,산들,N/A,Unknown,512.6,40,Jun-26,01:02:55,Master's Hat (10250),Soul Corrupter's Necklace (19876),Abyssal Cloth Amice (20686),Bloodvine Vest (19682),Firemaw's Clutch (19400),Bloodvine Leggings (19683),Bloodvine Boots (19684),Sublime Wristguards (18497),Bloodtinged Gloves (19929),Band of Servitude (22721),Zanzil's Band (19905),Zandalarian Hero Charm (19950),Briarwood Reed (12930),Shroud of Arcane Mastery (22330),Staff of Dominance (18842),N/A,Egan's Blaster (13289),Blackwing Lair,4,Druid,Balance
54,루나시스,아힐막공,Alliance,509.7,40,Apr-28,01:02:40,High Councillor's Circlet (10139),Choker of Enlightenment (17109),Mantle of the Blackwing Cabal (19370),Robe of Volatile Power (19145),Mana Igniting Cord (19136),Luminary Kilt (11823),Waterspout Boots (18322),Bracers of Arcane Accuracy (19374),Hands of Power (13253),Maiden's Circle (13001),Band of Forced Concentration (19403),Eye of the Beast (13968),Briarwood Reed (12930),Cloak of the Brood Lord (19378),Staff of Dominance (18842),N/A,N/A,Blackwing Lair,4,Druid,Balance
55,Arzarzarzar,Relapse,Horde,509.4,40,Jul-02,35:39:00,The Hexxer's Cover (19886),Choker of Enlightenment (17109),Mantle of the Blackwing Cabal (19370),Bloodvine Vest (19682),Firemaw's Clutch (19400),Bloodvine Leggings (19683),Bloodvine Boots (19684),Elegant Bracers (10213),Bloodtinged Gloves (19929),Zanzil's Band (19905),Zanzil's Seal (19893),Eye of the Beast (13968),Zandalarian Hero Charm (19950),Cloak of Consumption (19857),High Warlord's Spellblade (23466),Tome of Arcane Domination (19308),Egan's Blaster (13289),Blackwing Lair,4,Druid,Balance
56,Deathrayanna,Ruck Up,Alliance,506.5,39,Jun-19,49:46:00,The Hexxer's Cover (19886),Soul Corrupter's Necklace (19876),High Councillor's Mantle (10142),Bloodvine Vest (19682),Angelista's Grasp (19388),Bloodvine Leggings (19683),Bloodvine Boots (19684),Cinderhide Armsplints (11764),Bloodtinged Gloves (19929),Zanzil's Band (19905),Rune Band of Wizardry (22339),Zandalarian Hero Charm (19950),Briarwood Reed (12930),Shroud of Arcane Mastery (22330),Claw of Chromaggus (19347),Jin'do's Bag of Whammies (19891),Egan's Blaster (13289),Blackwing Lair,4,Druid,Balance
57,丨风萧萧兮灬,黑猫警长,Alliance,505.6,38,Jun-19,01:12:44,"Mish'undare, Circlet of the Mind Flayer (19375)",Choker of the Fire Lord (18814),Lieutenant Commander's Dragonhide Shoulders (23309),Bloodvine Vest (19682),Mana Igniting Cord (19136),Bloodvine Leggings (19683),Bloodvine Boots (19684),Cenarion Bracers (16830),Taut Dragonhide Gloves (19390),Zanzil's Seal (19893),Ring of Spell Power (19147),Zandalarian Hero Charm (19950),Neltharion's Tear (19379),Cloak of Consumption (19857),Dark Whisper Blade (20720),Jin'do's Bag of Whammies (19891),N/A,Blackwing Lair,4,Druid,Balance
58,Papablaze,livid,Horde,504.6,40,Jun-06,34:36:00,The Hexxer's Cover (19886),Star of Mystaria (12103),Warlord's Dragonhide Epaulets (16551),Bloodvine Vest (19682),Angelista's Grasp (19388),Bloodvine Leggings (19683),Bloodvine Boots (19684),Bracers of Arcane Accuracy (19374),Bloodtinged Gloves (19929),Zanzil's Seal (19893),Band of Servitude (22721),Briarwood Reed (12930),Talisman of Ephemeral Power (18820),Sapphiron Drape (17078),High Warlord's Spellblade (23466),Jin'do's Bag of Whammies (19891),N/A,Blackwing Lair,4,Druid,Balance
59,털찐거에요,N/A,Unknown,504.2,40,Jul-03,01:08:41,"Mish'undare, Circlet of the Mind Flayer (19375)",Choker of the Fire Lord (18814),Mantle of the Blackwing Cabal (19370),Bloodvine Vest (19682),Angelista's Grasp (19388),Bloodvine Leggings (19683),Bloodvine Boots (19684),Bracers of Arcane Accuracy (19374),Bloodtinged Gloves (19929),Zanzil's Seal (19893),Band of Forced Concentration (19403),Zandalarian Hero Charm (19950),Neltharion's Tear (19379),Cloak of Consumption (19857),Grand Marshal's Mageblade (23451),Jin'do's Bag of Whammies (19891),Egan's Blaster (13289),Blackwing Lair,4,Druid,Balance
60,Solarstorms,goblins,Horde,504.1,37,Jun-15,47:12:00,"Mish'undare, Circlet of the Mind Flayer (19375)",Star of Mystaria (12103),Burial Shawl (18681),Bloodvine Vest (19682),Mana Igniting Cord (19136),Bloodvine Leggings (19683),Bloodvine Boots (19684),Bracers of Arcane Accuracy (19374),Hands of Power (13253),Zanzil's Band (19905),Band of Forced Concentration (19403),Zandalarian Hero Charm (19950),Briarwood Reed (12930),Sapphiron Drape (17078),High Warlord's Spellblade (23466),Tome of Arcane Domination (19308),N/A,Blackwing Lair,4,Druid,Balance
61,Alphos,N/A,Unknown,503.7,40,Jun-15,44:42:00,"Mish'undare, Circlet of the Mind Flayer (19375)",Orb of the Darkmoon (19426),Master's Mantle (10253),Bloodvine Vest (19682),Mana Igniting Cord (19136),Bloodvine Leggings (19683),Bloodvine Boots (19684),High Councillor's Bracers (10136),Bloodtinged Gloves (19929),Band of Servitude (22721),Rune Band of Wizardry (22339),Briarwood Reed (12930),Zandalarian Hero Charm (19950),Cloak of Consumption (19857),High Warlord's Spellblade (23466),Jin'do's Bag of Whammies (19891),N/A,Blackwing Lair,4,Druid,Balance
62,Reasonabowel,crayons taste purple,Horde,503.4,38,Jun-06,31:48:00,The Hexxer's Cover (19886),Jeklik's Opaline Talisman (19923),Burial Shawl (18681),Bloodvine Vest (19682),Belt of Untapped Power (22716),Bloodvine Leggings (19683),Bloodvine Boots (19684),Cenarion Bracers (16830),Hands of Power (13253),Eye of Orgrimmar (12545),Band of Servitude (22721),Briarwood Reed (12930),Royal Seal of Eldre'Thalas (18470),Cloak of the Hakkari Worshippers (22711),Lord Valthalak's Staff of Command (22335),N/A,Idol of Rejuvenation (22398),Blackwing Lair,4,Druid,Balance
63,Yani,N/A,Unknown,496.6,40,Jun-22,34:03:00,High Councillor's Circlet (10139),Jeklik's Opaline Talisman (19923),Sunderseer Mantle (13185),Bloodvine Vest (19682),Belt of Untapped Power (22716),Bloodvine Leggings (19683),Betrayer's Boots (19897),High Councillor's Bracers (10136),Gloves of Delusional Power (20618),Zanzil's Band (19905),Band of Servitude (22721),Eye of the Beast (13968),Zandalarian Hero Charm (19950),Cloak of the Hakkari Worshippers (22711),Aurastone Hammer (17105),Tome of Arcane Domination (19308),N/A,Blackwing Lair,4,Druid,Balance
64,一介书笙,铁丶血,Horde,489.1,40,Jun-29,43:51:00,The Hexxer's Cover (19886),Choker of Enlightenment (17109),Mantle of the Blackwing Cabal (19370),Bloodvine Vest (19682),Belt of Untapped Power (22716),Bloodvine Leggings (19683),Bloodvine Boots (19684),Bracers of Arcane Accuracy (19374),Bloodtinged Gloves (19929),Ring of Spell Power (19147),Band of Forced Concentration (19403),Talisman of Ephemeral Power (18820),Neltharion's Tear (19379),Cloak of Consumption (19857),Lok'amir il Romathis (19360),Master Dragonslayer's Orb (19366),Idol of Rejuvenation (22398),Blackwing Lair,4,Druid,Balance
65,별폭풍,이프로부족할때,Alliance,488.7,40,Jun-29,52:37:00,Green Lens (10504),Jeklik's Opaline Talisman (19923),Mantle of the Blackwing Cabal (19370),Bloodvine Vest (19682),Mana Igniting Cord (19136),Bloodvine Leggings (19683),Bloodvine Boots (19684),High Councillor's Bracers (10136),Bloodtinged Gloves (19929),Band of Servitude (22721),Zanzil's Band (19905),Talisman of Ephemeral Power (18820),Briarwood Reed (12930),Cloak of Consumption (19857),Lok'amir il Romathis (19360),Jin'do's Bag of Whammies (19891),N/A,Blackwing Lair,4,Druid,Balance
66,Mazdamundi,Impulse,Alliance,488.7,35,May-18,50:40:00,The Hexxer's Cover (19886),Orb of the Darkmoon (19426),High Councillor's Mantle (10142),Bloodvine Vest (19682),Mana Igniting Cord (19136),Bloodvine Leggings (19683),Bloodvine Boots (19684),Master's Bracers (10248),Peerless Gloves (15429),Songstone of Ironforge (12543),Band of the Unicorn (7553),Briarwood Reed (12930),Zandalarian Hero Charm (19950),Cloak of the Hakkari Worshippers (22711),Grand Marshal's Mageblade (23451),Jin'do's Bag of Whammies (19891),N/A,Blackwing Lair,4,Druid,Balance
67,Muzzleloader,N/A,Unknown,488,40,Jun-22,01:01:45,"Mish'undare, Circlet of the Mind Flayer (19375)",Soul Corrupter's Necklace (19876),Burial Shawl (18681),Bloodvine Vest (19682),Mana Igniting Cord (19136),Bloodvine Leggings (19683),Bloodvine Boots (19684),Master's Bracers (10248),Taut Dragonhide Gloves (19390),Songstone of Ironforge (12543),Ring of Blackrock (19397),Talisman of Ephemeral Power (18820),Neltharion's Tear (19379),Cloak of the Hakkari Worshippers (22711),Staff of Dominance (18842),N/A,N/A,Blackwing Lair,4,Druid,Balance
68,Powerpump,N/A,Unknown,487.7,39,Jun-09,46:05:00,The Hexxer's Cover (19886),Orb of the Darkmoon (19426),Master's Mantle (10253),Bloodvine Vest (19682),Mana Igniting Cord (19136),Bloodvine Leggings (19683),Bloodvine Boots (19684),Dryad's Wrist Bindings (19595),Bloodtinged Gloves (19929),Ring of Spell Power (19147),Ring of Spell Power (19147),Talisman of Ephemeral Power (18820),Briarwood Reed (12930),Cloak of Consumption (19857),High Warlord's Spellblade (23466),Tome of Arcane Domination (19308),N/A,Blackwing Lair,4,Druid,Balance
69,Frupyd,rat does backflip,Alliance,487.5,38,Jun-02,39:39:00,The Hexxer's Cover (19886),Choker of Enlightenment (17109),Lieutenant Commander's Dragonhide Shoulders (23309),Bloodvine Vest (19682),Firemaw's Clutch (19400),Bloodvine Leggings (19683),Bloodvine Boots (19684),Sublime Wristguards (18497),Dreamweave Gloves (10019),Ring of Blackrock (19397),Songstone of Ironforge (12543),Zandalarian Hero Charm (19950),Briarwood Reed (12930),Cloak of Consumption (19857),Staff of the Shadow Flame (19356),N/A,N/A,Blackwing Lair,4,Druid,Balance
70,Loccas,N/A,Unknown,487.2,40,May-16,45:57:00,"Mish'undare, Circlet of the Mind Flayer (19375)",Pendant of the Fallen Dragon (19371),Mantle of the Blackwing Cabal (19370),Bloodvine Vest (19682),Ban'thok Sash (11662),Bloodvine Leggings (19683),Bloodvine Boots (19684),Orphic Bracers (18337),Bloodtinged Gloves (19929),Zanzil's Seal (19893),Zanzil's Band (19905),Talisman of Ephemeral Power (18820),Eye of the Beast (13968),Spritecaster Cape (11623),Staff of Dominance (18842),N/A,N/A,Blackwing Lair,4,Druid,Balance
71,Piglepigpig,风月冲锋团,Horde,486.3,40,May-29,44:30:00,"Mish'undare, Circlet of the Mind Flayer (19375)",Choker of the Fire Lord (18814),Kentic Amice (11624),Bloodvine Vest (19682),Mana Igniting Cord (19136),Bloodvine Leggings (19683),Bloodvine Boots (19684),Sublime Wristguards (18497),Bloodtinged Gloves (19929),Zanzil's Seal (19893),Maiden's Circle (13001),Neltharion's Tear (19379),Briarwood Reed (12930),Spritecaster Cape (11623),Staff of the Shadow Flame (19356),N/A,N/A,Blackwing Lair,4,Druid,Balance
72,음메야,와 쌉 1공,Horde,486.1,40,Jun-15,43:34:00,"Mish'undare, Circlet of the Mind Flayer (19375)",Choker of the Fire Lord (18814),Mantle of the Blackwing Cabal (19370),Bloodvine Vest (19682),Firemaw's Clutch (19400),Bloodvine Leggings (19683),Bloodvine Boots (19684),Bracers of Arcane Accuracy (19374),Bloodtinged Gloves (19929),Zanzil's Seal (19893),Band of Sulfuras (19138),Talisman of Ephemeral Power (18820),Neltharion's Tear (19379),Cloak of Consumption (19857),Staff of the Shadow Flame (19356),N/A,N/A,Blackwing Lair,4,Druid,Balance
73,초원의여우,움훼공대,Alliance,485.7,40,Jun-14,47:46:00,The Hexxer's Cover (19886),Jeklik's Opaline Talisman (19923),Elder Wizard's Mantle (13013),Bloodvine Vest (19682),Angelista's Grasp (19388),Bloodvine Leggings (19683),Bloodvine Boots (19684),Cenarion Bracers (16830),Bloodtinged Gloves (19929),Band of Servitude (22721),Zanzil's Band (19905),Zandalarian Hero Charm (19950),Eye of the Beast (13968),Cloak of the Hakkari Worshippers (22711),Jin'do's Judgment (19884),N/A,N/A,Blackwing Lair,4,Druid,Balance
74,초당순두봉,서리1공,Alliance,483.3,40,Jun-02,58:58:00,The Hexxer's Cover (19886),Jeklik's Opaline Talisman (19923),Cyclone Spaulders (18528),Robe of Volatile Power (19145),Mana Igniting Cord (19136),Flarecore Leggings (19165),Waterspout Boots (18322),Bracers of Arcane Accuracy (19374),Taut Dragonhide Gloves (19390),Ring of Spell Power (19147),Band of Servitude (22721),Zandalarian Hero Charm (19950),Briarwood Reed (12930),Cloak of the Hakkari Worshippers (22711),Shadow Wing Focus Staff (19355),N/A,Egan's Blaster (13289),Blackwing Lair,4,Druid,Balance
75,Longfrog,Kult,Alliance,482.8,40,May-14,42:01:00,Crimson Felt Hat (18727),Orb of the Darkmoon (19426),Field Marshal's Dragonhide Spaulders (16449),Bloodvine Vest (19682),Firemaw's Clutch (19400),Bloodvine Leggings (19683),Bloodvine Boots (19684),Peerless Bracers (15425),Bloodtinged Gloves (19929),Ring of Spell Power (19147),Band of Servitude (22721),Zandalarian Hero Charm (19950),Briarwood Reed (12930),Cloak of the Brood Lord (19378),Grand Marshal's Mageblade (23451),Tome of Arcane Domination (19308),N/A,Blackwing Lair,4,Druid,Balance
76,Moonbunny,N/A,Unknown,482.1,38,Jun-15,43:36:00,The Hexxer's Cover (19886),Star of Mystaria (12103),Burial Shawl (18681),Bloodvine Vest (19682),Firemaw's Clutch (19400),Bloodvine Leggings (19683),Bloodvine Boots (19684),Cenarion Bracers (16830),Bloodtinged Gloves (19929),Zanzil's Band (19905),Zanzil's Seal (19893),Zandalarian Hero Charm (19950),Briarwood Reed (12930),Cloak of Consumption (19857),Claw of Chromaggus (19347),Jin'do's Bag of Whammies (19891),N/A,Blackwing Lair,4,Druid,Balance
77,Sateal,TBD,Alliance,481.9,39,Jun-30,26:08:00,The Hexxer's Cover (19886),Choker of Enlightenment (17109),Mantle of the Blackwing Cabal (19370),Bloodvine Vest (19682),Angelista's Grasp (19388),Bloodvine Leggings (19683),Bloodvine Boots (19684),Abyssal Cloth Wristbands (20690),Bloodtinged Gloves (19929),Band of Servitude (22721),Ring of Blackrock (19397),Nat Pagle's Broken Reel (19947),Briarwood Reed (12930),Cloak of Consumption (19857),Claw of Chromaggus (19347),Tome of Arcane Domination (19308),Egan's Blaster (13289),Blackwing Lair,4,Druid,Balance
78,Nightroot,TBD,Alliance,477.9,39,Jun-30,26:08:00,"Mish'undare, Circlet of the Mind Flayer (19375)",Star of Mystaria (12103),Field Marshal's Dragonhide Spaulders (16449),Bloodvine Vest (19682),Firemaw's Clutch (19400),Bloodvine Leggings (19683),Bloodvine Boots (19684),Bracers of Arcane Accuracy (19374),Bloodtinged Gloves (19929),Zanzil's Seal (19893),Band of Servitude (22721),Eye of the Beast (13968),Briarwood Reed (12930),Cloak of the Brood Lord (19378),Grand Marshal's Mageblade (23451),Tome of Arcane Domination (19308),Idol of Rejuvenation (22398),Blackwing Lair,4,Druid,Balance
79,Farian,N/A,Unknown,470.2,40,Jul-07,34:41:00,The Hexxer's Cover (19886),Choker of the Fire Lord (18814),Mantle of the Blackwing Cabal (19370),Bloodvine Vest (19682),Angelista's Grasp (19388),Bloodvine Leggings (19683),Bloodvine Boots (19684),Bracers of Arcane Accuracy (19374),Bloodtinged Gloves (19929),Band of Forced Concentration (19403),Zanzil's Seal (19893),Zandalarian Hero Charm (19950),Briarwood Reed (12930),Cloak of Consumption (19857),Lok'amir il Romathis (19360),Jin'do's Bag of Whammies (19891),N/A,Blackwing Lair,4,Druid,Balance
80,Suuti,Twisted Gryphons,Alliance,467.9,36,Jun-20,36:48:00,The Hexxer's Cover (19886),Soul Corrupter's Necklace (19876),Lieutenant Commander's Dragonhide Shoulders (23309),Bloodvine Vest (19682),Ban'thok Sash (11662),Bloodvine Leggings (19683),Bloodvine Boots (19684),Cenarion Bracers (16830),Taut Dragonhide Gloves (19390),Ring of Spell Power (19147),Band of Forced Concentration (19403),Zandalarian Hero Charm (19950),Neltharion's Tear (19379),Sapphiron Drape (17078),Shadow Wing Focus Staff (19355),N/A,N/A,Blackwing Lair,4,Druid,Balance
81,Elbows,blurry,Alliance,467,37,Jun-13,38:34:00,The Hexxer's Cover (19886),Soul Corrupter's Necklace (19876),Field Marshal's Dragonhide Spaulders (16449),Robe of Volatile Power (19145),Angelista's Grasp (19388),Bloodvine Leggings (19683),Bloodvine Boots (19684),Cenarion Bracers (16830),Bloodtinged Gloves (19929),Zanzil's Band (19905),Zanzil's Seal (19893),Briarwood Reed (12930),Zandalarian Hero Charm (19950),Cloak of Consumption (19857),Grand Marshal's Mageblade (23451),Jin'do's Bag of Whammies (19891),N/A,Blackwing Lair,4,Druid,Balance
82,Zephrey,Fallen,Horde,466.5,40,Jul-07,28:33:00,Crimson Felt Hat (18727),Star of Mystaria (12103),Burial Shawl (18681),Bloodvine Vest (19682),Angelista's Grasp (19388),Bloodvine Leggings (19683),Bloodvine Boots (19684),Master's Bracers (10248),Mighty Gauntlets (10149),Band of Servitude (22721),Zanzil's Seal (19893),Briarwood Reed (12930),Talisman of Ephemeral Power (18820),Cloak of Consumption (19857),Lok'amir il Romathis (19360),Tome of Arcane Domination (19308),N/A,Blackwing Lair,4,Druid,Balance
